Count_GFPobjects,Count_NonOverlappingWorms,Count_OverlappingWorms,Count_Welloutline,Count_WormObjects,FileName_RawBF,ImageNumber
177.0,587.0,587.0,1.0,548.0,6_A01_PS11_1_BF.tif,1
141.0,357.0,357.0,1.0,322.0,6_A02_PS12_1_BF.tif,2
418.0,372.0,372.0,1.0,337.0,6_A03_PS13_1_BF.tif,3
342.0,479.0,479.0,1.0,436.0,6_A04_PS14_1_BF.tif,4
427.0,562.0,562.0,1.0,526.0,6_A05_PS15_1_BF.tif,5
269.0,479.0,479.0,1.0,418.0,6_A06_PS16_1_BF.tif,6
392.0,533.0,533.0,1.0,477.0,6_A07_PS17_1_BF.tif,7
608.0,593.0,593.0,1.0,533.0,6_A08_PS18_1_BF.tif,8
415.0,467.0,467.0,1.0,445.0,6_A09_PS19_1_BF.tif,9
366.0,602.0,602.0,1.0,533.0,6_A10_PS20_1_BF.tif,10
273.0,11.0,11.0,1.0,14.0,6_A11_00_0_BF.tif,11
241.0,38.0,38.0,1.0,51.0,6_A12_00_0_BF.tif,12
65.0,389.0,389.0,1.0,367.0,6_B01_PS11_2_BF.tif,13
157.0,456.0,456.0,1.0,399.0,6_B02_PS12_2_BF.tif,14
206.0,367.0,367.0,1.0,332.0,6_B03_PS13_2_BF.tif,15
198.0,423.0,423.0,1.0,382.0,6_B04_PS14_2_BF.tif,16
138.0,264.0,264.0,1.0,243.0,6_B05_PS15_2_BF.tif,17
133.0,381.0,381.0,1.0,357.0,6_B06_PS16_2_BF.tif,18
155.0,362.0,362.0,1.0,346.0,6_B07_PS17_2_BF.tif,19
456.0,356.0,356.0,1.0,362.0,6_B08_PS18_2_BF.tif,20
177.0,329.0,329.0,1.0,301.0,6_B09_PS19_2_BF.tif,21
137.0,215.0,215.0,1.0,206.0,6_B10_PS20_2_BF.tif,22
287.0,24.0,24.0,1.0,31.0,6_B11_00_0_BF.tif,23
282.0,87.0,87.0,1.0,126.0,6_B12_00_0_BF.tif,24
236.0,462.0,462.0,1.0,410.0,6_C01_PS11_3_BF.tif,25
657.0,459.0,459.0,1.0,436.0,6_C02_PS12_3_BF.tif,26
364.0,552.0,552.0,1.0,503.0,6_C03_PS13_3_BF.tif,27
282.0,510.0,510.0,1.0,497.0,6_C04_PS14_3_BF.tif,28
159.0,468.0,468.0,1.0,451.0,6_C05_PS15_3_BF.tif,29
331.0,448.0,448.0,1.0,439.0,6_C06_PS16_3_BF.tif,30
366.0,411.0,411.0,1.0,383.0,6_C07_PS17_3_BF.tif,31
339.0,447.0,447.0,1.0,472.0,6_C08_PS18_3_BF.tif,32
498.0,561.0,561.0,1.0,517.0,6_C09_PS19_3_BF.tif,33
381.0,472.0,472.0,1.0,434.0,6_C10_PS20_3_BF.tif,34
297.0,84.0,84.0,1.0,128.0,6_C11_00_0_BF.tif,35
300.0,14.0,14.0,1.0,20.0,6_C12_00_0_BF.tif,36
355.0,345.0,345.0,1.0,341.0,6_D01_PS11_4_BF.tif,37
311.0,529.0,529.0,1.0,479.0,6_D02_PS12_4_BF.tif,38
253.0,471.0,471.0,1.0,435.0,6_D03_PS13_4_BF.tif,39
637.0,574.0,574.0,1.0,512.0,6_D04_PS14_4_BF.tif,40
272.0,500.0,500.0,1.0,463.0,6_D05_PS15_4_BF.tif,41
202.0,492.0,492.0,1.0,466.0,6_D06_PS16_4_BF.tif,42
352.0,468.0,468.0,1.0,427.0,6_D07_PS17_4_BF.tif,43
358.0,539.0,539.0,1.0,494.0,6_D08_PS18_4_BF.tif,44
344.0,303.0,303.0,1.0,293.0,6_D09_PS19_4_BF.tif,45
112.0,275.0,275.0,1.0,265.0,6_D10_PS20_4_BF.tif,46
280.0,16.0,16.0,1.0,25.0,6_D11_00_0_BF.tif,47
307.0,24.0,24.0,1.0,33.0,6_D12_00_0_BF.tif,48
212.0,458.0,458.0,1.0,413.0,6_E01_PS11_5_BF.tif,49
280.0,525.0,525.0,1.0,491.0,6_E02_PS12_5_BF.tif,50
438.0,364.0,364.0,1.0,342.0,6_E03_PS13_5_BF.tif,51
308.0,513.0,513.0,1.0,465.0,6_E05_PS15_5_BF.tif,52
415.0,575.0,575.0,1.0,541.0,6_E06_PS16_5_BF.tif,53
455.0,465.0,465.0,1.0,458.0,6_E07_PS17_5_BF.tif,54
346.0,501.0,501.0,1.0,477.0,6_E08_PS18_5_BF.tif,55
58.0,403.0,403.0,1.0,395.0,6_E09_PS19_5_BF.tif,56
473.0,407.0,407.0,1.0,450.0,6_E10_PS20_5_BF.tif,57
389.0,48.0,48.0,1.0,59.0,6_E11_00_0_BF.tif,58
331.0,72.0,72.0,1.0,103.0,6_E12_00_0_BF.tif,59
316.0,460.0,460.0,1.0,423.0,6_F01_PS11_6_BF.tif,60
218.0,499.0,499.0,1.0,476.0,6_F02_PS12_6_BF.tif,61
195.0,445.0,445.0,1.0,392.0,6_F03_PS13_6_BF.tif,62
171.0,313.0,313.0,1.0,280.0,6_F04_PS14_6_BF.tif,63
222.0,453.0,453.0,1.0,406.0,6_F05_PS15_6_BF.tif,64
260.0,499.0,499.0,1.0,440.0,6_F06_PS16_6_BF.tif,65
66.0,367.0,367.0,1.0,359.0,6_F07_PS17_6_BF.tif,66
318.0,396.0,396.0,1.0,374.0,6_F08_PS18_6_BF.tif,67
317.0,460.0,460.0,1.0,404.0,6_F09_PS19_6_BF.tif,68
374.0,383.0,383.0,1.0,396.0,6_F10_PS20_6_BF.tif,69
354.0,21.0,21.0,1.0,36.0,6_F11_00_0_BF.tif,70
324.0,64.0,64.0,1.0,83.0,6_F12_00_0_BF.tif,71
376.0,414.0,414.0,1.0,445.0,6_G01_PS11_7_BF.tif,72
469.0,604.0,604.0,1.0,525.0,6_G02_PS12_7_BF.tif,73
360.0,545.0,545.0,1.0,518.0,6_G03_PS13_7_BF.tif,74
339.0,482.0,482.0,1.0,461.0,6_G04_PS14_7_BF.tif,75
352.0,547.0,547.0,1.0,504.0,6_G05_PS15_7_BF.tif,76
375.0,442.0,442.0,1.0,416.0,6_G07_PS17_7_BF.tif,77
522.0,308.0,308.0,1.0,319.0,6_G08_PS18_7_BF.tif,78
444.0,499.0,499.0,1.0,472.0,6_G09_PS19_7_BF.tif,79
584.0,577.0,577.0,1.0,510.0,6_G10_PS20_7_BF.tif,80
